acq_date,lat,lon,frp
2026-04-07,33.97712,-117.60608,25.37
2026-04-07,33.97987,-117.59177,1.08
2026-04-07,33.98034,-117.59632,1.08
2026-04-07,33.98082,-117.60088,25.37
2026-04-07,33.98129,-117.60542,25.37
2026-04-07,33.98176,-117.60995,1.67
2026-04-07,33.98224,-117.61452,1.67
2026-04-07,33.98403,-117.59112,1.36
2026-04-07,33.98451,-117.59566,1.36
2026-04-07,33.98499,-117.60019,307.43
2026-04-07,33.98546,-117.60475,307.43
2026-04-07,33.98593,-117.6093,3.1
2026-04-07,33.98641,-117.61386,3.1
2026-04-07,33.98689,-117.61841,0.92
2026-04-07,33.9882,-117.59044,1.36
2026-04-07,33.98867,-117.59499,1.36
2026-04-07,33.98963,-117.60408,307.43
2026-04-07,33.9901,-117.60864,3.1
2026-04-07,33.99058,-117.61318,3.1
2026-04-07,33.99284,-117.59431,0.69
2026-04-07,33.99332,-117.59886,1.21
2026-04-07,33.99379,-117.60342,1.21
2026-04-07,34.04218,-117.82114,0.22
2026-04-07,34.14244,-117.42729,0.48
2026-04-07,34.15201,-118.19211,0.74
2026-04-07,34.1525,-118.19711,0.74
2026-04-07,34.28983,-118.80447,0.41
2026-04-07,34.32089,-118.51371,0.52
2026-04-07,34.33398,-118.51932,1.2
2026-04-07,34.3351,-118.52169,1.31
2026-04-07,34.62174,-117.10094,1.17
2026-04-07,33.98336,-117.60004,5.15
2026-04-07,33.9871,-117.60107,5.15
2026-04-07,34.28352,-118.97281,4.25
2026-04-07,34.2849,-118.98654,3.45
2026-04-07,34.286,-119.06315,9.55
2026-04-07,34.28892,-118.98755,3.45
2026-04-07,34.3623,-118.18521,6.3
2026-04-07,34.36616,-118.18608,6.3
2026-04-07,34.36998,-118.1871,3.44
2026-04-07,34.37626,-118.95563,3.32
2026-04-07,35.70341,-120.59876,4.24
2026-04-07,36.05514,-121.00602,5.55
2026-04-07,36.06047,-121.00258,5.55
2026-04-07,36.2442,-118.67646,2.31
2026-04-07,37.04668,-119.28233,34.88
2026-04-07,37.04789,-119.27643,34.88
2026-04-07,38.44669,-121.91251,5.87
2026-04-07,38.44781,-121.90744,8.09
2026-04-07,38.44845,-121.91069,11.34
2026-04-07,38.98815,-121.78296,13.69
2026-04-07,38.98923,-121.77805,14.53
